"","chromosome","source","type","start","end","score","strand","phase","gene_symbol","gene_ensID","length","entrezid"
"12815","1","ensembl_havana","gene",5862811,5992473,".","-",".","NPHP4","ENSG00000131697",129663,"261734"
"13115","1","ensembl_havana","gene",5991466,6101193,".","+",".","KCNAB2","ENSG00000069424",109728,"8514"
"13544","1","ensembl_havana","gene",6101793,6180123,".","-",".","CHD5","ENSG00000116254",78331,"26038"
"13870","1","ensembl_havana","gene",6181269,6209389,".","-",".","RPL22","ENSG00000116251",28121,"6146"
"13955","1","havana","gene",6204840,6205780,".","-",".","RP1-120G22.11","ENSG00000226944",941,"102724450"
"13961","1","ensembl_havana","gene",6205475,6221299,".","+",".","RNF207","ENSG00000158286",15825,"388591"
"14064","1","ensembl_havana","gene",6221193,6235972,".","-",".","ICMT","ENSG00000116237",14780,"23463"
"14144","1","ensembl_havana","gene",6244192,6245578,".","+",".","HES3","ENSG00000173673",1387,"390992"
"14162","1","ensembl_havana","gene",6247346,6260975,".","-",".","GPR153","ENSG00000158292",13630,"387509"
"14206","1","ensembl_havana","gene",6264269,6394391,".","-",".","ACOT7","ENSG00000097021",130123,"11332"
"14428","1","ensembl_havana","gene",6412418,6424670,".","-",".","HES2","ENSG00000069812",12253,"54626"
"14497","1","ensembl_havana","gene",6424788,6461370,".","+",".","ESPN","ENSG00000187017",36583,"83715"
"14729","1","ensembl_havana","gene",6461151,6466195,".","-",".","TNFRSF25","ENSG00000215788",5045,"8718"
"15008","1","ensembl_havana","gene",6466092,6520061,".","-",".","PLEKHG5","ENSG00000171680",53970,"57449"
"15533","1","ensembl_havana","gene",6521347,6554535,".","-",".","NOL9","ENSG00000162408",33189,"79707"
"15591","1","ensembl_havana","gene",6555181,6579757,".","+",".","TAS1R1","ENSG00000173662",24577,"80835"
"15642","1","ensembl_havana","gene",6580001,6589280,".","+",".","ZBTB48","ENSG00000204859",9280,"3104"
"15732","1","ensembl_havana","gene",6590724,6614607,".","-",".","KLHL21","ENSG00000162413",23884,"9903"
"15832","1","ensembl_havana","gene",6613685,6624033,".","+",".","PHF13","ENSG00000116273",10349,"148479"
"15860","1","ensembl_havana","gene",6624866,6635586,".","+",".","THAP3","ENSG00000041988",10721,"90326"
"15941","1","ensembl_havana","gene",6634168,6701924,".","-",".","DNAJC11","ENSG00000007923",67757,"55735"
"16130","1","ensembl_havana","gene",6785324,7769706,".","+",".","CAMTA1","ENSG00000171735",984383,"23261"
"16365","1","havana","gene",7382487,7389754,".","-",".","RP3-453P22.2","ENSG00000237728",7268,"102725193"
"16451","1","ensembl_havana","gene",7771269,7781432,".","+",".","VAMP3","ENSG00000049245",10164,"9341"
"16497","1","ensembl_havana","gene",7784320,7845177,".","+",".","PER3","ENSG00000049246",60858,"8863"
"16734","1","ensembl_havana","gene",7843083,7853512,".","-",".","UTS2","ENSG00000049247",10430,"10911"
"16774","1","ensembl_havana","gene",7915894,7943165,".","-",".","TNFRSF9","ENSG00000049249",27272,"3604"
"16844","1","ensembl_havana","gene",7954291,7985505,".","+",".","PARK7","ENSG00000116288",31215,"11315"
"16984","1","ensembl_havana","gene",8004404,8026308,".","-",".","ERRFI1","ENSG00000116285",21905,"54206"
"17101","1","ensembl_havana","gene",8317826,8344167,".","+",".","SLC45A1","ENSG00000162426",26342,"50651"
"17162","1","ensembl_havana","gene",8352397,8817643,".","-",".","RERE","ENSG00000142599",465247,"473"
"17522","1","ensembl_havana","gene",8861002,8879249,".","-",".","ENO1","ENSG00000074800",18248,"2023"
"17601","1","havana","gene",8878835,8879894,".","+",".","ENO1-AS1","ENSG00000230679",1060,"100505975"
"17625","1","ensembl_havana","gene",8945867,8975092,".","+",".","CA6","ENSG00000131686",29226,"765"
"17710","1","ensembl_havana","gene",9003300,9026345,".","-",".","SLC2A7","ENSG00000197241",23046,"155184"
"17737","1","ensembl_havana","gene",9035107,9088478,".","-",".","SLC2A5","ENSG00000142583",53372,"6518"
"17894","1","ensembl_havana","gene",9100305,9129170,".","-",".","GPR157","ENSG00000180758",28866,"80045"
"17985","1","ensembl_havana","gene",9234775,9271337,".","+",".","H6PD","ENSG00000049239",36563,"9563"
"18028","1","ensembl_havana","gene",9292880,9369532,".","+",".","SPSB1","ENSG00000171621",76653,"80176"
"18083","1","ensembl_havana","gene",9539482,9585179,".","+",".","SLC25A33","ENSG00000171612",45698,"84275"
"18129","1","ensembl_havana","gene",9588922,9614873,".","+",".","TMEM201","ENSG00000188807",25952,"199953"
"18218","1","ensembl_havana","gene",9651732,9729114,".","+",".","PIK3CD","ENSG00000171608",77383,"5293"
"18495","1","havana","gene",9652610,9654586,".","-",".","PIK3CD-AS1","ENSG00000179840",1977,"644997"
"18505","1","havana","gene",9672426,9687555,".","-",".","PIK3CD-AS2","ENSG00000231789",15130,"101929074"
"18520","1","ensembl_havana","gene",9729026,9824526,".","-",".","CLSTN1","ENSG00000171603",95501,"22883"
"18676","1","ensembl_havana","gene",9848276,9910336,".","-",".","CTNNBIP1","ENSG00000178585",62061,"56998"
"18749","1","ensembl_havana","gene",9922113,9943407,".","-",".","LZIC","ENSG00000162441",21295,"84328"
"18826","1","ensembl_havana","gene",9943428,9985501,".","+",".","NMNAT1","ENSG00000173614",42074,"64802"
"18898","1","ensembl_havana","gene",9997206,10016020,".","+",".","RBP7","ENSG00000162444",18815,"116362"
"18930","1","ensembl_havana","gene",10032832,10181239,".","+",".","UBE4B","ENSG00000130939",148408,"10277"
"19141","1","ensembl_havana","gene",10210805,10381603,".","+",".","KIF1B","ENSG00000054523",170799,"23095"
"19790","1","ensembl_havana","gene",10398592,10420144,".","+",".","PGD","ENSG00000142657",21553,"5226"
"19914","1","ensembl_havana","gene",10430102,10452153,".","+",".","APITD1-CORT","ENSG00000251503",22052,"100526739"
"19978","1","havana","gene",10430443,10442809,".","+",".","APITD1","ENSG00000175279",12367,"378708"
"20022","1","ensembl_havana","gene",10449719,10451902,".","+",".","CORT","ENSG00000241563",2184,"1325"
"20031","1","ensembl_havana","gene",10456522,10472526,".","-",".","DFFA","ENSG00000160049",16005,"1676"
"20079","1","ensembl_havana","gene",10472288,10630758,".","+",".","PEX14","ENSG00000142655",158471,"5195"
"20136","1","ensembl_havana","gene",10636604,10796650,".","-",".","CASZ1","ENSG00000130940",160047,"54897"
"20370","1","ensembl_havana","gene",10946471,10982037,".","-",".","C1orf127","ENSG00000175262",35567,"148345"
"20458","1","ensembl_havana","gene",11012344,11026420,".","+",".","TARDBP","ENSG00000120948",14077,"23435"
"20818","1","ensembl_havana","gene",11026523,11047233,".","-",".","MASP2","ENSG00000009724",20711,"10747"
"20871","1","ensembl_havana","gene",11054584,11060024,".","-",".","SRM","ENSG00000116649",5441,"6723"
"20940","1","ensembl_havana","gene",11066618,11099881,".","-",".","EXOSC10","ENSG00000171824",33264,"5394"
"21106","1","havana","gene",11099675,11102100,".","+",".","RP4-635E18.6","ENSG00000230337",2426,"105376736"
"21115","1","ensembl_havana","gene",11106535,11262507,".","-",".","MTOR","ENSG00000198793",155973,"2475"
"21318","1","havana","gene",11143898,11149537,".","+",".","MTOR-AS1","ENSG00000225602",5640,"100873935"
"21332","1","ensembl_havana","gene",11189341,11195981,".","+",".","ANGPTL7","ENSG00000171819",6641,"10218"
"21363","1","ensembl_havana","gene",11273206,11296049,".","+",".","UBIAD1","ENSG00000120942",22844,"29914"
"21420","1","ensembl_havana","gene",11479166,11537584,".","+",".","DISP3","ENSG00000204624",58419,"57540"
"21502","1","ensembl_havana","gene",11648367,11655785,".","-",".","FBXO2","ENSG00000116661",7419,"26232"
"21551","1","ensembl_havana","gene",11654375,11663327,".","+",".","FBXO44","ENSG00000132879",8953,"93611"
"21685","1","ensembl_havana","gene",11664124,11674354,".","+",".","FBXO6","ENSG00000116663",10231,"26270"
"21719","1","ensembl_havana","gene",11674480,11691650,".","-",".","MAD2L2","ENSG00000116670",17171,"10459"
"21883","1","ensembl_havana","gene",11691729,11725857,".","+",".","DRAXIN","ENSG00000162490",34129,"374946"
"21904","1","ensembl_havana","gene",11736084,11754802,".","+",".","AGTRAP","ENSG00000177674",18719,"57085"
"22048","1","ensembl_havana","gene",11761787,11789585,".","+",".","C1orf167","ENSG00000215910",27799,"284498"
"22184","1","havana","gene",11777077,11779619,".","-",".","RP11-56N19.5","ENSG00000177553",2543,"102724659"
"22190","1","ensembl_havana","gene",11785723,11806920,".","-",".","MTHFR","ENSG00000177000",21198,"4524"
"22338","1","ensembl_havana","gene",11806096,11843144,".","+",".","CLCN6","ENSG00000011021",37049,"1185"
"22555","1","ensembl_havana","gene",11845709,11848345,".","-",".","NPPA","ENSG00000175206",2637,"4878"
"22589","1","ensembl_havana","gene",11857464,11858931,".","-",".","NPPB","ENSG00000120937",1468,"4879"
"22616","1","ensembl_havana","gene",11919591,11926428,".","-",".","KIAA2013","ENSG00000116685",6838,"90231"
"22649","1","ensembl_havana","gene",11934205,11975538,".","+",".","PLOD1","ENSG00000083444",41334,"5351"
"22762","1","ensembl_havana","gene",11980181,12013514,".","+",".","MFN2","ENSG00000116688",33334,"9927"
"22879","1","ensembl_havana","gene",12019466,12032045,".","+",".","MIIP","ENSG00000116691",12580,"60672"
"22957","1","ensembl_havana","gene",12063377,12144207,".","+",".","TNFRSF8","ENSG00000120949",80831,"943"
"23095","1","ensembl_havana","gene",12166943,12209228,".","+",".","TNFRSF1B","ENSG00000028137",42286,"7133"
"23169","1","ensembl_havana","gene",12230067,12512047,".","+",".","VPS13D","ENSG00000048707",281981,"55187"
"23686","1","ensembl_havana","gene",12567910,12617731,".","-",".","DHRS3","ENSG00000162496",49822,"9249"
"23744","1","ensembl_havana","gene",12644547,12667086,".","+",".","AADACL4","ENSG00000204518",22540,"343066"
"23758","1","ensembl_havana","gene",12716115,12728759,".","+",".","AADACL3","ENSG00000188984",12645,"126767"
"23774","1","ensembl_havana","gene",12746215,12763699,".","+",".","C1orf158","ENSG00000157330",17485,"93190"
"23798","1","ensembl_havana","gene",12774841,12777906,".","+",".","PRAMEF12","ENSG00000116726",3066,"390999"
"23808","1","ensembl_havana","gene",12791397,12796628,".","+",".","PRAMEF1","ENSG00000116721",5232,"65121"
"23827","1","ensembl_havana","gene",12824605,12831410,".","-",".","PRAMEF11","ENSG00000239810",6806,"440560"
"23847","1","ensembl_havana","gene",12847408,12848725,".","-",".","HNRNPCL1","ENSG00000179172",1318,"343069"
"23854","1","ensembl_havana","gene",12857086,12861909,".","+",".","PRAMEF2","ENSG00000120952",4824,"65122"
"23866","1","ensembl_havana","gene",12879224,12886201,".","-",".","PRAMEF4","ENSG00000243073",6978,"400735"
"23879","1","ensembl_havana","gene",12892896,12898270,".","-",".","PRAMEF10","ENSG00000187545",5375,"343071"
"23894","1","ensembl_havana","gene",12916610,12920482,".","+",".","PRAMEF7","ENSG00000204510",3873,"441871"
"23923","1","ensembl_havana","gene",12938472,12947580,".","-",".","PRAMEF6","ENSG00000232423",9109,"440561"
"23952","1","ensembl_havana","gene",13049476,13056491,".","-",".","PRAMEF27","ENSG00000274764",7016,"101929983"
"23965","1","ensembl_havana","gene",13060853,13077884,".","+",".","PRAMEF25","ENSG00000229571",17032,"441873"
"23999","1","ensembl_havana","gene",13060869,13062229,".","+",".","HNRNPCL3","ENSG00000277058",1361,"649330"
"24018","1","ensembl_havana","gene",13115496,13116854,".","-",".","HNRNPCL2","ENSG00000275774",1359,"440563"
"24039","1","ensembl_havana","gene",13148905,13155961,".","-",".","PRAMEF26","ENSG00000280267",7057,"645359"
"24052","1","ensembl_havana","gene",13164586,13165467,".","-",".","HNRNPCL4","ENSG00000179412",882,"101060301"
"24056","1","ensembl_havana","gene",13172455,13179464,".","+",".","PRAMEF9","ENSG00000204505",7010,"343070"
"24069","1","havana","gene",13196823,13199589,".","-",".","PRAMEF13","ENSG00000279169",2767,"400736"
"24074","1","ensembl","gene",13222695,13226133,".","-",".","PRAMEF18","ENSG00000279804",3439,"391003"
"24091","1","ensembl_havana","gene",13254212,13263314,".","+",".","PRAMEF5","ENSG00000270601",9103,"343068"
"24112","1","ensembl_havana","gene",13281035,13285174,".","-",".","PRAMEF8","ENSG00000182330",4140,"391002"
"24145","1","ensembl_havana","gene",13303509,13322598,".","+",".","PRAMEF15","ENSG00000204501",19090,"653619"
"24168","1","havana","gene",13305955,13308887,".","+",".","PRAMEF33P","ENSG00000237700",2933,"645382"
"24181","1","ensembl_havana","gene",13342034,13347134,".","-",".","PRAMEF14","ENSG00000204481",5101,"729528"
"24196","1","ensembl_havana","gene",13369067,13371693,".","-",".","PRAMEF19","ENSG00000204480",2627,"645414"
"24205","1","ensembl_havana","gene",13389632,13392629,".","+",".","PRAMEF17","ENSG00000204479",2998,"391004"
"24218","1","ensembl_havana","gene",13410450,13421328,".","+",".","PRAMEF20","ENSG00000204478",10879,"645425"
"24239","1","ensembl_havana","gene",13474977,13514048,".","-",".","LRRC38","ENSG00000162494",39072,"126755"
"24269","1","ensembl_havana","gene",13583465,13617957,".","+",".","PDPN","ENSG00000162493",34493,"10630"
"24456","1","ensembl_havana","gene",13700198,13825079,".","+",".","PRDM2","ENSG00000116731",124882,"7799"
"24660","1","ensembl_havana","gene",13892792,15118043,".","+",".","KAZN","ENSG00000189337",1225252,"23254"
"24895","1","havana","gene",15111815,15152464,".","-",".","TMEM51-AS1","ENSG00000175147",40650,"200197"
"24909","1","ensembl_havana","gene",15152532,15220480,".","+",".","TMEM51","ENSG00000171729",67949,"55092"
"25008","1","ensembl_havana","gene",15247272,15400283,".","+",".","FHAD1","ENSG00000142621",153012,"114827"
"25404","1","havana","gene",15326680,15343876,".","-",".","RP3-467K16.2","ENSG00000233485",17197,"101927417"
"25421","1","ensembl_havana","gene",15409895,15430343,".","+",".","EFHD2","ENSG00000142634",20449,"79180"
"25451","1","ensembl_havana","gene",15438439,15449242,".","+",".","CTRC","ENSG00000162438",10804,"11330"
"25495","1","ensembl_havana","gene",15456728,15472091,".","+",".","CELA2A","ENSG00000142615",15364,"63036"
"25523","1","ensembl_havana","gene",15465909,15491400,".","+",".","CELA2B","ENSG00000215704",25492,"51032"
"25563","1","ensembl_havana","gene",15490832,15526534,".","-",".","CASP9","ENSG00000132906",35703,"842"
"25740","1","ensembl_havana","gene",15526813,15592379,".","+",".","DNAJC16","ENSG00000116138",65567,"23341"
"25937","1","ensembl","gene",15542165,15542304,".","+",".","SCARNA21","ENSG00000251866",140,"107397391"
"25943","1","ensembl_havana","gene",15572353,15585110,".","-",".","AGMAT","ENSG00000116771",12758,"79814"
"25985","1","ensembl_havana","gene",15617500,15669044,".","+",".","DDI2","ENSG00000197312",51545,"84301"
"26053","1","havana","gene",15659869,15661722,".","+",".","RSC1A1","ENSG00000215695",1854,"6248"
"26063","1","ensembl_havana","gene",15684332,15734769,".","+",".","PLEKHM2","ENSG00000116786",50438,"23207"
"26185","1","ensembl_havana","gene",15736405,15741396,".","+",".","SLC25A34","ENSG00000162461",4992,"284723"
"26207","1","havana","gene",15740051,15749896,".","-",".","RP11-169K16.4","ENSG00000224459",9846,"110806303"
"26211","1","ensembl_havana","gene",15742422,15747982,".","+",".","TMEM82","ENSG00000162460",5561,"388595"
"26234","1","ensembl_havana","gene",15756607,15786594,".","+",".","FBLIM1","ENSG00000162458",29988,"54751"
"26422","1","ensembl_havana","gene",15807169,15809348,".","-",".","UQCRHL","ENSG00000233954",2180,"440567"
"26432","1","havana","gene",15834474,15848147,".","-",".","FLJ37453","ENSG00000179743",13674,"729614"
"26457","1","ensembl_havana","gene",15847864,15940460,".","+",".","SPEN","ENSG00000065526",92597,"23013"
"26535","1","ensembl_havana","gene",15941869,15976132,".","-",".","ZBTB17","ENSG00000116809",34264,"7709"
"26735","1","ensembl_havana","gene",16004236,16008807,".","+",".","C1orf64","ENSG00000183888",4572,"149563"
"26752","1","ensembl_havana","gene",16014028,16019594,".","-",".","HSPB7","ENSG00000173641",5567,"27129"
"26812","1","ensembl_havana","gene",16018875,16034050,".","+",".","CLCNKA","ENSG00000186510",15176,"1187"
"26994","1","ensembl_havana","gene",16043736,16057308,".","+",".","CLCNKB","ENSG00000184908",13573,"1188"
"27109","1","ensembl_havana","gene",16057769,16073632,".","-",".","FAM131C","ENSG00000185519",15864,"348487"
"27145","1","ensembl_havana","gene",16124337,16156087,".","-",".","EPHA2","ENSG00000142627",31751,"1969"
"27224","1","ensembl_havana","gene",16197854,16212609,".","-",".","ARHGEF19","ENSG00000142632",14756,"128272"
"27342","1","ensembl_havana","gene",16231700,16237162,".","-",".","RSG1","ENSG00000132881",5463,"79363"
"27370","1","ensembl_havana","gene",16246839,16352454,".","-",".","FBXO42","ENSG00000037637",105616,"54455"
"27420","1","ensembl_havana","gene",16352575,16398145,".","+",".","SZRD1","ENSG00000055070",45571,"26099"
"27507","1","ensembl_havana","gene",16387117,16437424,".","-",".","SPATA21","ENSG00000187144",50308,"374955"
"27618","1","ensembl_havana","gene",16440672,16460078,".","+",".","NECAP2","ENSG00000157191",19407,"55707"
"27787","1","havana","gene",16467436,16499257,".","-",".","CROCCP3","ENSG00000080947",31822,"114819"
"27889","1","havana","gene",16539066,16539575,".","+",".","FAM231B","ENSG00000268991",510,"100133301"
"27904","1","ensembl_havana","gene",16562319,16613562,".","-",".","NBPF1","ENSG00000219481",51244,"55672"
"28100","1","havana","gene",16618969,16644683,".","-",".","CROCCP2","ENSG00000215908",25715,"84809"
"28171","1","ensembl_havana","gene",16673003,16673512,".","+",".","FAM231A","ENSG00000237847",510,"729574"
"28192","1","havana","gene",16687339,16720157,".","-",".","ESPNP","ENSG00000268869",32819,"284729"
"28250","1","ensembl_havana","gene",16733951,16734461,".","-",".","FAM231C","ENSG00000279132",511,"102723383"
"28260","1","ensembl_havana","gene",16740273,16972979,".","+",".","CROCC","ENSG00000058453",232707,"9696"
"28653","1","ensembl_havana","gene",16974502,16980835,".","-",".","MFAP2","ENSG00000117122",6334,"4237"
"28726","1","ensembl_havana","gene",16985958,17011928,".","-",".","ATP13A2","ENSG00000159363",25971,"23400"
"29078","1","ensembl_havana","gene",17018722,17054170,".","-",".","SDHB","ENSG00000117118",35449,"6390"
"29150","1","ensembl_havana","gene",17066761,17119435,".","-",".","PADI2","ENSG00000117115",52675,"11240"
"29256","1","ensembl_havana","gene",17205126,17246005,".","+",".","PADI1","ENSG00000142623",40880,"29943"
"29300","1","ensembl_havana","gene",17249098,17284233,".","+",".","PADI3","ENSG00000142619",35136,"51702"
"29340","1","ensembl_havana","gene",17308195,17364004,".","+",".","PADI4","ENSG00000159339",55810,"23569"
